N° de la FEB,fr,ar,bg,chi,cs,da,de,el,en,es,es_XL,et,fa_IR,fi,he,hi,hr,hu,id,it,ja,ko,lt,lv,nl_NL,no,pl,pt_BR,pt_PT,ro,ru,sk,sl,sq,sr,sv,tr,uk,vi
10903_1,"Alerte sortie
de voie activée","خارج حارة السير
التحذير يبدأ","Излизане от пътя
активирано","车道偏离
警报开启","Výstraha přejetí
pruhu aktivní","Lane departure
advarsel aktiv","Spurwechsel-
warnung aktiv","Προειδ. αλλαγής
λωρίδας: Ναι","Lane departure
warning on","Alerta salida de
carril activa","Advert. Salida
carril encendida","Sõidurealt lahk.
hoiatus sees","هشدار انحراف از
مسیر روشن","Kaistavahti
varoitus päällä","אזהרת סטייה
מנתיב מופעלת","लेन छोड़ने की
चेतावनी ऑन","Izlazite iz
vozne trake","Sávelhagyás fi-
gyelő aktív","Peringatan jalur
departur nyala","Allarm uscita di
strada attiva","レーンディパーチャー
警告ON","차선이탈 경보가
작동되었습니다","Įspėjimas apie
nukr. įjungtas","Iesl. braukšanas
joslas brīdināj.","Lane departure
geactiveerd","Filvarsl. Assist
Varsel på","Alarm toru jazdy
włączony","Saída da faixa
aviso ligado","Alerta saída de
via ativada","Alertă depăşire
bandă activată","Контроль полосы
предупр. вкл.","Alarm vyboč. z
dráhy aktívny","Opozorilo za
skrenitev-vklop","Lajm
ndryshim korsie","Upoz. o izl. iz
saob. tr. uklj.","Vingelvarning
PÅ","Şeritten çıkma
ikazı devrede","Контроль рядност
увімкн.","Cảnh báo chệch
làn đường bật"
10903_15T1,"Sortie de voie
vibration = 1","خروج من الطريق
الاهتزاز=1","напуск.на платно
вибрация=1","车道偏移
振动强度=1","Výstraha pruhu
vibrace = 1","Lane departure
vibration=1","Spurwechsel
Vibration = 1","Αλλαγή λωρίδας
δόνηση = 1","Lane Departure
Vibration=1","Salida de carril
vibración = 1","Vibracion salida
de carril=1","Rajalt lahkumine
vibratsioon=1","مقصد خط
لرزش=1","Kaistan ylitys
värinä =1","סטייה מנתיב
רטט = 1","लेन छोड़ना
कंपन=1","Napustanje trake
vibracije=1","Sávelhagyásjelző
rezgés=1","Getaran Jalur
Departur = 1","Uscita di corsia
vibrazione=1","はみだし注意
バイブ=1","차선이탈 경보
진동 = 1","Išv. iš juostos
vibracija = 1","Joslu uzraudz.
vibrācija=1","Lane departure
trillen = 1","Filskifte
vibrasjon=1","Śledzenie drogi
wibracje = 1","Saída da faixa
vibração = 1","Saída de via
vibração = 1","Depăşire bandă
vibraţie=1","Контроль полосы
Вибрация = 1","Výstraha prekroč
pruhu vibrácia=1","Skrenitev z pasu
vibriranje = 1","Ndryshim korsie
Dridhja =1","saob. tr. uklj.
vibracije=1","Vingelvarning
vibration=1","Şeritten çıkma
titreşim = 1","Вібр. при виході
за розмітку=1","Độ rung =1
Rời làn"
10903_15T2,"Sortie de voie
vibration = 2","خروج من الطريق
الاهتزاز=2","напуск.на платно
вибрация=2","车道偏移
振动强度=2","Výstraha pruhu
vibrace = 2","Lane departure
vibration=2","Spurwechsel
Vibration = 2","Αλλαγή λωρίδας
δόνηση = 2","Lane Departure
Vibration=2","Salida de carril
vibración = 2","Vibracion salida
de carril=2","Rajalt lahkumine
vibratsioon=2","مقصد خط
لرزش=2","Kaistan ylitys
värinä =2","סטייה מנתיב
רטט = 2","लेन छोड़ना
कंपन=2","Napustanje trake
vibracije=2","Sávelhagyásjelző
rezgés=2","Getaran Jalur
Departur = 2","Uscita di corsia
vibrazione=2","はみだし注意
バイブ=2","차선이탈 경보
진동 = 2","Išv. iš juostos
vibracija = 2","Joslu uzraudz.
vibrācija=2","Lane departure
trillen = 2","Filskifte
vibrasjon=2","Śledzenie drogi
wibracje = 2","Saída da faixa
vibração = 2","Saída de via
vibração = 2","Depăşire bandă
vibraţie=2","Контроль полосы
Вибрация = 2","Výstraha prekroč
pruhu vibrácia=2","Skrenitev z pasu
vibriranje = 2","Ndryshim korsie
Dridhja =2","saob. tr. uklj.
vibracije=2","Vingelvarning
vibration=2","Şeritten çıkma
titreşim = 2","Вібр. при виході
за розмітку=2","Độ rung =2
Rời làn"
10903_15T3,"Sortie de voie
vibration = 3","خروج من الطريق
الاهتزاز=3","напуск.на платно
вибрация=3","车道偏移
振动强度=3","Výstraha pruhu
vibrace = 3","Lane departure
vibration=3","Spurwechsel
Vibration = 3","Αλλαγή λωρίδας
δόνηση = 3","Lane Departure
Vibration=3","Salida de carril
vibración = 3","Vibracion salida
de carril=3","Rajalt lahkumine
vibratsioon=3","مقصد خط
لرزش=3","Kaistan ylitys
värinä =3","סטייה מנתיב
רטט = 3","लेन छोड़ना
कंपन=3","Napustanje trake
vibracije=3","Sávelhagyásjelző
rezgés=3","Getaran Jalur
Departur = 3","Uscita di corsia
vibrazione=3","はみだし注意
バイブ=3","차선이탈 경보
진동 = 3","Išv. iš juostos
vibracija = 3","Joslu uzraudz.
vibrācija=3","Lane departure
trillen = 3","Filskifte
vibrasjon=3","Śledzenie drogi
wibracje = 3","Saída da faixa
vibração = 3","Saída de via
vibração = 3","Depăşire bandă
vibraţie=3","Контроль полосы
Вибрация = 3","Výstraha prekroč
pruhu vibrácia=3","Skrenitev z pasu
vibriranje = 3","Ndryshim korsie
Dridhja =3","saob. tr. uklj.
vibracije=3","Vingelvarning
vibration=3","Şeritten çıkma
titreşim = 3","Вібр. при виході
за розмітку=3","Độ rung =3
Rời làn"
10903_16T1,1: faible,1 :منخفض,1 : ниско,1 : 低,1 : nízká,1: lav,1: schwach,1 : χαμηλή,1 : Low,1: baja,1 : bajo,1 : madal,1 : پایین,1: matala,1 : נמוך,1 : निम्न,1 : Nisko,1: alacsony,1 : Rendah,1: basso,1 : 低,1 : 낮음,1: žemas,1 : vāji,1:laag,1 : lav,1 : niski,1 : baixo,1: fraca,1 : redusă,1 : низкая,1 : nízka,1 : nizko,1 : i ul,1 : nisko,1 : låg,1 : düşük,1 : низька,1: Thấp
10903_16T2,2: moyenne,2 : متوسط,2 : средно,2 : 中,2 : střední,2: medium,2: mittel,2 : μεσαία,2 : Medium,2 : media,2 : medio,2 : keskmine,2 : متوسط,2: keskitaso,2 : בינוני,2 : मध्यम,2 : Srednje,2: közepes,2 : Sedang,2: medio,2 : 中,2 : 중간,2: vidutinis,2: vidēji stipri,2:midden,2 : middels,2 : średni,2 : médio,2: média,2 : medie,2 : средняя,2 : stredná,2 : srednje,2 : Mesatar,2 : srednje,2 : medel,2 : orta,2 : середня,2: Trung bình
10903_16T3,3: élevée,3 : مرتفع,3 : високо,3 : 高,3 : vysoká,3: høj,3: hoch,3 : υψηλή,3 : High,3 : elevada,3 : alto,3 : kõrge,3 :بالا,3: korkea,3 : גבוה,3 : उच्च,3 : Visoko,3: magas,3 : Tinggi,3: alto,3 : 高,3 : 높음,3: aukštas,3 : stipri,3:hoog,3 : høy,3 : wysoki,3 : alto,3: elevada,3 : ridicată,3 : высокая,3 : vysoká,3 : visoko,3 : I lart,3 : visoko,3 : hög,3 : yüksek,3 : висока,3: Cao
10903_17,VIBRATION,الاهتزاز,вибрация,振动强度,VIBRACE,VIBRATION,VIBRATION,ΔΟΝΗΣΗ,VIBRATION,VIBRACION,VIBRACION,VIBRATSIOON,لرزش,VÄRINÄ,רמת רטט,कंपन,VIBRACIJE,vibráció,GETARAN,VIBRAZIONE,バイブレーション,진동,VIBRACIJA,VIBRĀCIJA,TRILLEN,VIBRASJON,WIBRACJE,VIBRAÇÃO,VIBRAÇÃO,Vibrație,ВИБРАЦИЯ,VIBRÁCIA,VIBRIRANJE,DRIDHJA,vibracije,VIBRATION,TİTREŞİM,ВІБРАЦІЯ,ĐỘ RUNG
10903_18,"Caméra avant
à contrôler","تحقق من الكاميرا
الأمامية","провери
предна камера","检查
前摄像头","Zkontrolovat
čelní kameru","Kontroller
frontkamera","Frontkamera
prüfen","Ελέγξτε εμπρός
κάμερα","Check
Front camera","Revisar cámara
delantera","Controlar
cámara frontal","Esikaamera
kontrollige","دوربین جلو
بررسی شود","Tarkista
etukamera","בדוק
מצלמה קדמית","सामने का कैमरा
जाँच करें","Provjeriti
prednju kameru","Első kamera
ellenőrizendő","Periksa Kamera
Depan","Camera anteriore
controllare","フロントカメラを
点検してください","전방 카메라
점검해 주십시오","Patikrinti
priekinę kamerą","Pārbaudīt
priekš. kamera","Controleer
camera voor","Fremre kamera
må kontrolleres","Kamera przód
skontroluj","Verificar
câmera dianteira","Verificar câmara
dianteira","Controlează
camera frontală","Проверьте
перед. камеру","Skontrolovať
prednú kameru","Sprednja kamera
preverite","Kontrollo
kamerën para","Proveriti
prednju kameru","Kontrollera
Främre kamera","Ön kamera
kontrol ettirin","Перевірте
передню камеру","camera trước
cần kiểm tra"
10903_20,2: moyenne,2 : متوسط,2 : средно,2 : 中,2 : střední,2: medium,2: mittel,2 : μεσαία,2 : Medium,2 : media,2 : medio,2 : keskmine,2 : متوسط,2: keskitaso,2 : בינוני,2 : मध्यम,2 : Srednje,2: közepes,2 : Sedang,2: medio,2 : 中,2 : 중간,2: vidutinis,2: vidēji stipri,2:midden,2 : middels,2 : średni,2 : médio,2: média,2 : medie,2 : средняя,2 : stredná,2 : srednje,2 : Mesatar,2 : srednje,2 : medel,2 : orta,2 : середня,2: Trung bình
10903_21,3: élevée,3 : مرتفع,3 : високо,3 : 高,3 : vysoká,3: høj,3: hoch,3 : υψηλή,3 : High,3 : elevada,3 : alto,3 : kõrge,3 :بالا,3: korkea,3 : גבוה,3 : उच्च,3 : Visoko,3: magas,3 : Tinggi,3: alto,3 : 高,3 : 높음,3: aukštas,3 : stipri,3:hoog,3 : høy,3 : wysoki,3 : alto,3: elevada,3 : ridicată,3 : высокая,3 : vysoká,3 : visoko,3 : I lart,3 : visoko,3 : hög,3 : yüksek,3 : висока,3: Cao
10903_24,"Sortie de voie
indisponible","الخروج عن المسار
غير متاح","Напуск. на лента
недостъпено","车道偏离
不可用","Vyjetí z pruhu
není k dispozici","Afkørsel fra vognbane
ikke tilgængelig","Spurhalten
nicht verfügbar","Lane Departure
μη διαθέσιμο","Lane Departure
unavailable","Salida de carril
no disponible","Salida de carril
no disponible","Rajalt väljumine
mittesaadaval","خروج از خط
در دسترس نیست","Kaistavalvonta
ei käytettävissä","התראת סטייה מנתיב
אינה זמינה","लेन प्रस्थान
अनुपलब्ध","Napuštanje trake
nedostupan","Sáv elhagyása
nem elérhető","Keluar Jalur
tidak sedia","Mantenimento di corsia
non disponibile","レーンデパーチャ
ー使用不可","차선 이탈경보 시스템
사용 불가능","Nukr. nuo eismo
juost. nepasiek.","Joslas pameš.
nav pieejama","Lane Departure
niet beschikbaar","Filvarsling
utilgjengelig","Alarm toru jazdy
niedostępny","Saída de faixa
indisponível","Transp.invol.via
indisponível","Părasire bandă
indisponibilă","Выезд с полосы движения
недоступен","Opustenie pruhu
nedostupné","Zapustitev voznega
pasu ni na voljo","Dalja nga Korsia
e padisponueshme","Napuštanje trake
nedostupan","Vingelvarning
Ej tillgänglig","Şeritten Ayrılma
kullanım dışı","Виїзд зі смуги
недоступний","Khởi hành theo làn
không khả dụng"
10903_25,Sortie de voie,مغادرة الحارة,"Напускане на
лентата",车道偏离,"Vyjetí z jízdní
dráhy",Lane departure,Spurverlassen,Αλλαγή λωρίδας,Lane departure,Salida carril,Salida de carril,"Sõidurajalt
lahkumine",بین خطوط,Kaistavaroitin,סטיה מנתיב,लेन प्रस्थान,"Upozorenje za
voznu traku","Sávelhagyás
gátló",Keluar jalur,Uscita di corsia,"レーン
デパーチャー","차선 이탈 경보
해제","Nukrypimas nuo
eimo juostos",Joslas pamešana,"Lane departure
warning",Forlater fil,Poza drogą,"Afastamento
da faixa","Transpos. invol.
de via","Asistență la
părăsirea benzii","Выход за границу
полосы движения",Opustenie pruhu,"Zapuščanje
voznega pasa","Lëshim i
korsisë",Izlaz iz trake,Vingelvarning,Şeritten çıkma,"Виїзд зі смуги
руху",Làn đường khởi hành
10903_4,"Alerte sortie de
voie désactivée","خارج حارة السير
التحذير يقف","Излизане от пътя
деактивирано","车道偏离
警报关闭","Výstraha přejetí
pruhu neaktivní","Vognbaneadvarsel
deaktiveret","Spurwechsel-
warnung inaktiv","Προειδ. αλλαγής
λωρίδας: Όχι","Lane departure
warning off","Alerta salida de
vía desactivada","Advert salida
carril apagada","Sõidurealt lahk.
hoiatus väljas","هشدار انحراف از
مسیر خاموش","Kaistavahti
varoitus pois","אזהרת סטייה
מהנתיב כבויה","लेन छोड़ने की
चेतावनी ऑफ","Upozorenje trake
isključeno","Sávelhagyás fi-
gyelő nem aktív","Peringatan keluar
keluar jalur mati","Allarm uscita di
strada disatt.","レーンディパーチャー
警告OFF","차선이탈경보
시스템 해제","Įspėjimas apie
nukr. išjungtas","Izsl. braukšanas
joslas brīdināj.","Lane departure
gedeactiveerd","Filvarsl. Assist
Varsel av","Alarm toru jazdy
wyłączony","Saída da faixa
aviso desligado","Alerta saída de
via desativada","Alertă depăşire
bandă dezactiv.","Контроль полосы
выключен","Alarm vyboč. z
dráhy neaktívny","Opozorilo za
skrenitev-izklop","Mbajtja shiritit
e çkyçur","Upoz. o izl. Iz
saob. tr. isklj.","Vingelvarning
AV","Şeritten çıkma
ikazı devre dışı","Система LDW
вимк.","Cảnh
báo chệch làn đường tắt"
10904_1,"Alerte angle
mort activée","نقطة عمياء
تشغيل التنبيه","Съобшение за
мъртва зона вкл",盲区监测启用,"Kontrola mrtvého
úhlu aktivní","Blind vinkel
alarm til","Warnung toter
Winkel an","Ειδ/ση τυφλού
σημείου ενεργή","Blind spot
alert on","Alerta ángulo
muerto activada","Alerta punto
ciego activada","Pimeala
hoiatus sees","نقطه عدم دید
هشدار روشن","Katvealuehälytin
päällä","נקודה מתה
הפעלת אזהרת","अन्ध बिन्दु
चेतावनी चालू","Mrtva tocka
upozorenje uklj","Holttérfigyelő
aktív","Tanda titik
buta nyala","Avviso AAM:
attivato","側面衝突
警告オン","사각지대경보
시스템 작동","Akloji zona
persp. įjungt.","""Aklās"" zonas
brīdin. iesl.","Dodehoek ass
aan","Blind sone
Alarm på","Alarm martwego
pola włączony","Alerta de ponto
cego ativado","Alerta ângulo
morto ativo","Alertă unghi
mort activată","Контроль мертвой
зоны включен","Systém stráženia
mŕtveho uhla zap","Vklop opozorila
za mrtvi kot","Këndi i vdekur
i aktivizuar","Mrtav ugao
alarm aktivan","Dödavinkeln
PÅ","Kör nokta ikazı
devrede","Сигнал мертвої
зони увімк.","Cảnh báo điểm mù
đang bật"
